,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
673,2019-11-04 18:00:00,61.26,64.15,60.89,63.12,527595.77833000,2019-11-05 17:59:59.999,33018350.52632020,89887,282286.59808000,17668472.92511790,0
674,2019-11-05 18:00:00,63.13,64.33,62.56,64.11,334742.14328000,2019-11-06 17:59:59.999,21184873.26065780,58572,178988.11043000,11334673.95017710,0
675,2019-11-06 18:00:00,64.11,64.33,60.27,61.39,327504.17073000,2019-11-07 17:59:59.999,20341773.35058980,63798,156316.75496000,9710292.07228160,0
676,2019-11-07 18:00:00,61.4,62.49,58.93,60.38,347351.93739000,2019-11-08 17:59:59.999,21069094.56458040,72750,168608.21635000,10231685.93438230,0
677,2019-11-08 18:00:00,60.36,62.37,60.17,62.04,196430.96635000,2019-11-09 17:59:59.999,12033723.06915690,45899,98735.99944000,6049469.81191480,0
678,2019-11-09 18:00:00,62.04,66.19,60.8,63.65,437892.99669000,2019-11-10 17:59:59.999,27791092.93064840,81523,213612.92925000,13560373.16232910,0
679,2019-11-10 18:00:00,63.65,64.33,60.47,61.84,409179.59195000,2019-11-11 17:59:59.999,25483714.41547130,74028,208187.36006000,12966294.25391340,0
680,2019-11-11 18:00:00,61.84,62.25,59.75,61.42,299770.77160000,2019-11-12 17:59:59.999,18364928.41496820,58282,145997.39461000,8946891.36736910,0
681,2019-11-12 18:00:00,61.45,62.05,60.27,60.96,175581.95546000,2019-11-13 17:59:59.999,10721665.62536910,25876,87266.84428000,5331587.33495950,0
682,2019-11-13 18:00:00,60.96,61.1,58.25,59.0,289462.24048000,2019-11-14 17:59:59.999,17199630.29873370,41405,145023.52035000,8617962.45983720,0
683,2019-11-14 18:00:00,59.0,60.75,56.2,57.6,333621.34492000,2019-11-15 17:59:59.999,19466114.18157750,57953,163701.22572000,9557643.47088000,0
684,2019-11-15 18:00:00,57.61,58.98,57.14,58.3,135649.07460000,2019-11-16 17:59:59.999,7869798.74898860,28624,67210.98263000,3901582.39841030,0
685,2019-11-16 18:00:00,58.29,59.97,57.55,59.22,190026.97121000,2019-11-17 17:59:59.999,11231813.56922600,35713,100614.92580000,5946054.75775110,0
686,2019-11-17 18:00:00,59.21,59.3,54.0,55.81,297441.77936000,2019-11-18 17:59:59.999,16889540.76456900,53586,135189.13750000,7683381.24738170,0
687,2019-11-18 18:00:00,55.8,56.23,54.2,55.13,245040.39116000,2019-11-19 17:59:59.999,13537640.59877720,44362,118291.83438000,6537290.98963660,0
688,2019-11-19 18:00:00,55.13,56.16,54.61,54.98,224543.37210000,2019-11-20 17:59:59.999,12409649.69886260,36451,104116.68120000,5756602.44147130,0
689,2019-11-20 18:00:00,54.99,55.29,48.51,50.61,442743.26376000,2019-11-21 17:59:59.999,22956914.14141310,69065,208344.23374000,10806901.05302980,0
690,2019-11-21 18:00:00,50.61,51.55,43.58,47.32,924579.32624000,2019-11-22 17:59:59.999,43972840.34313390,146131,456076.76081000,21708122.70781310,0
691,2019-11-22 18:00:00,47.32,48.53,46.13,48.1,301729.20885000,2019-11-23 17:59:59.999,14284224.62810570,62336,153597.55638000,7275072.30391450,0
692,2019-11-23 18:00:00,48.11,48.24,43.45,43.86,419517.52854000,2019-11-24 17:59:59.999,19189967.86916700,72475,199077.81825000,9108016.59912650,0
693,2019-11-24 18:00:00,43.87,47.42,42.04,45.47,571324.21757000,2019-11-25 17:59:59.999,25692967.87359650,92066,290639.80560000,13080997.15571660,0
694,2019-11-25 18:00:00,45.48,47.57,45.22,46.91,310692.28241000,2019-11-26 17:59:59.999,14415831.25758600,38148,152715.99704000,7087780.75631480,0
695,2019-11-26 18:00:00,46.91,48.69,44.51,47.7,455880.87524000,2019-11-27 17:59:59.999,21293926.38590940,50428,228992.57637000,10707459.04093680,0
696,2019-11-27 18:00:00,47.69,48.0,46.01,46.79,267853.24107000,2019-11-28 17:59:59.999,12673681.75890540,30200,133836.36577000,6334860.27912240,0
697,2019-11-28 18:00:00,46.78,49.33,46.73,48.54,301668.56643000,2019-11-29 17:59:59.999,14538397.07211030,37777,154045.71920000,7421129.67626550,0
698,2019-11-29 18:00:00,48.55,48.76,46.53,47.21,270874.56808000,2019-11-30 17:59:59.999,12935751.22401480,28993,135560.29966000,6473395.56340460,0
699,2019-11-30 18:00:00,47.21,48.45,45.5,47.45,313486.32183000,2019-12-01 17:59:59.999,14677016.94472440,37924,149003.16794000,6978859.83623190,0
700,2019-12-01 18:00:00,47.45,47.57,44.71,45.45,302502.05198000,2019-12-02 17:59:59.999,13883607.69552730,36270,145596.03334000,6681292.06017920,0
701,2019-12-02 18:00:00,45.44,46.22,44.26,44.75,323943.46120000,2019-12-03 17:59:59.999,14690325.25946830,36442,156812.32729000,7116849.37385240,0
702,2019-12-03 18:00:00,44.76,46.98,43.69,44.67,555313.52753000,2019-12-04 17:59:59.999,25067891.80724050,57187,270905.45497000,12238534.36399490,0
703,2019-12-04 18:00:00,44.64,45.21,43.7,44.81,444840.89828000,2019-12-05 17:59:59.999,19798104.18490340,46086,219796.49377000,9784768.77212160,0
704,2019-12-05 18:00:00,44.78,45.5,44.05,45.28,273507.67563000,2019-12-06 17:59:59.999,12251452.24981200,30528,134652.88093000,6032216.49702310,0
705,2019-12-06 18:00:00,45.26,46.5,44.94,45.15,195130.20296000,2019-12-07 17:59:59.999,8895004.03597260,21878,96110.89446000,4382792.16967750,0
706,2019-12-07 18:00:00,45.14,46.2,44.81,45.56,131675.58673000,2019-12-08 17:59:59.999,5985309.34749940,15896,66819.23103000,3039348.58246230,0
707,2019-12-08 18:00:00,45.55,45.87,44.04,44.45,219794.24751000,2019-12-09 17:59:59.999,9893759.72051790,23800,108304.97239000,4878313.72708730,0
708,2019-12-09 18:00:00,44.45,44.67,43.6,44.09,151332.98482000,2019-12-10 17:59:59.999,6686909.38988430,15891,69898.69502000,3089630.30429790,0
709,2019-12-10 18:00:00,44.07,44.46,43.27,43.7,134280.00698000,2019-12-11 17:59:59.999,5891144.23888400,14409,62043.55953000,2722668.65598240,0
710,2019-12-11 18:00:00,43.7,44.11,42.84,43.65,169652.16018000,2019-12-12 17:59:59.999,7380545.62004540,19728,85999.70577000,3742000.44099520,0
